workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
604,5,639,0,1,1,6:Attn19s
610,3,724,1,0,1,6:Attn19s
582,5,2036,0,1,1,6:Attn19s
263,1,643,1,1,1,6:Attn19s
623,5,1382,0,1,1,6:Attn19s
580,3,1577,1,0,1,6:Attn19s
579,3,468,1,0,1,6:Attn19s
567,1,1165,1,1,1,6:Attn19s
636,5,831,0,1,1,6:Attn19s
273,1,1206,1,1,1,6:Attn19s
609,3,420,1,0,1,6:Attn19s
628,1,988,1,1,1,6:Attn19s
575,3,822,1,0,1,6:Attn19s
612,7,2758,0,0,1,6:Attn19s
601,3,1098,1,0,1,6:Attn19s
588,5,1931,0,1,1,6:Attn19s
605,3,1319,1,0,1,6:Attn19s
570,1,622,1,1,1,6:Attn19s
599,1,599,1,1,1,6:Attn19s
607,5,1157,0,1,1,6:Attn19s
618,5,474,0,1,1,6:Attn19s
624,3,1259,1,0,1,6:Attn19s
616,7,794,0,0,1,6:Attn19s
613,3,536,1,0,1,6:Attn19s
586,7,460,0,0,1,6:Attn19s
617,1,2438,1,1,1,6:Attn19s
627,5,954,0,1,1,6:Attn19s
625,3,668,1,0,1,6:Attn19s
638,7,884,0,0,1,6:Attn19s
2,5,690,0,1,1,6:Attn19s
576,3,603,1,0,1,6:Attn19s
584,5,663,0,1,1,6:Attn19s
581,7,648,0,0,1,6:Attn19s
598,5,627,0,1,1,6:Attn19s
634,5,740,0,1,1,6:Attn19s
595,3,487,1,0,1,6:Attn19s
20,3,656,1,0,2,6:Attn19s
578,3,439,1,0,2,6:Attn19s
593,3,503,1,0,2,6:Attn19s
622,1,1006,1,1,2,6:Attn19s
610,5,561,0,1,2,6:Attn19s
620,7,415,0,0,2,6:Attn19s
582,3,571,1,0,2,6:Attn19s
623,5,1081,0,1,2,6:Attn19s
580,5,973,0,1,2,6:Attn19s
579,5,389,0,1,2,6:Attn19s
630,5,591,0,1,2,6:Attn19s
636,3,669,1,0,2,6:Attn19s
606,3,630,1,0,2,6:Attn19s
273,5,597,0,1,2,6:Attn19s
609,5,567,0,1,2,6:Attn19s
631,5,782,0,1,2,6:Attn19s
628,1,589,1,1,2,6:Attn19s
221,7,1004,0,0,2,6:Attn19s
615,1,534,1,1,2,6:Attn19s
572,5,842,0,1,2,6:Attn19s
573,1,609,1,1,2,6:Attn19s
605,1,659,1,1,2,6:Attn19s
568,5,2257,0,1,2,6:Attn19s
570,3,782,1,0,2,6:Attn19s
603,7,1508,0,0,2,6:Attn19s
633,1,1969,1,1,2,6:Attn19s
613,3,358,1,0,2,6:Attn19s
586,5,469,0,1,2,6:Attn19s
627,5,290,0,1,2,6:Attn19s
625,7,519,0,0,2,6:Attn19s
638,5,463,0,1,2,6:Attn19s
2,1,521,1,1,2,6:Attn19s
576,1,1141,1,1,2,6:Attn19s
584,5,584,0,1,2,6:Attn19s
581,7,760,0,0,2,6:Attn19s
598,7,558,0,0,2,6:Attn19s
634,1,682,1,1,2,6:Attn19s
600,3,793,1,0,2,6:Attn19s
592,3,490,1,0,2,6:Attn19s
619,5,1043,0,1,2,6:Attn19s
629,3,671,1,0,3,6:Attn19s
637,5,734,0,1,3,6:Attn19s
590,5,902,0,1,3,6:Attn19s
604,7,982,0,0,3,6:Attn19s
620,1,694,1,1,3,6:Attn19s
630,7,455,0,0,3,6:Attn19s
567,3,622,1,0,3,6:Attn19s
636,7,652,0,0,3,6:Attn19s
602,7,471,0,0,3,6:Attn19s
606,5,527,0,1,3,6:Attn19s
631,3,366,1,0,3,6:Attn19s
628,5,861,0,1,3,6:Attn19s
575,1,639,1,1,3,6:Attn19s
612,3,1371,1,0,3,6:Attn19s
601,1,677,1,1,3,6:Attn19s
588,5,565,0,1,3,6:Attn19s
615,1,485,1,1,3,6:Attn19s
577,5,487,0,1,3,6:Attn19s
573,1,754,1,1,3,6:Attn19s
611,1,514,1,1,3,6:Attn19s
570,7,469,0,0,3,6:Attn19s
599,1,744,1,1,3,6:Attn19s
607,5,1086,0,1,3,6:Attn19s
591,5,756,0,1,3,6:Attn19s
597,3,953,1,0,3,6:Attn19s
603,7,579,0,0,3,6:Attn19s
618,7,479,0,0,3,6:Attn19s
624,5,714,0,1,3,6:Attn19s
616,5,565,0,1,3,6:Attn19s
633,1,558,1,1,3,6:Attn19s
635,1,821,1,1,3,6:Attn19s
589,5,587,0,1,3,6:Attn19s
586,1,486,1,1,3,6:Attn19s
627,7,314,0,0,3,6:Attn19s
621,1,862,1,1,3,6:Attn19s
576,3,617,1,0,3,6:Attn19s
581,5,914,0,1,3,6:Attn19s
626,3,404,1,0,3,6:Attn19s
598,1,539,1,1,3,6:Attn19s
634,3,824,1,0,3,6:Attn19s
600,7,846,0,0,3,6:Attn19s
592,1,626,1,1,3,6:Attn19s
595,3,504,1,0,3,6:Attn19s
574,7,734,0,0,3,6:Attn19s
619,7,1107,0,0,3,6:Attn19s
637,5,492,0,1,4,6:Attn19s
585,7,1119,0,0,4,6:Attn19s
610,7,495,0,0,4,6:Attn19s
620,5,439,0,1,4,6:Attn19s
582,5,993,0,1,4,6:Attn19s
263,1,546,1,1,4,6:Attn19s
580,1,1013,1,1,4,6:Attn19s
579,1,488,1,1,4,6:Attn19s
630,3,620,1,0,4,6:Attn19s
636,1,376,1,1,4,6:Attn19s
148,7,604,0,0,4,6:Attn19s
631,5,849,0,1,4,6:Attn19s
628,7,470,0,0,4,6:Attn19s
612,1,1061,1,1,4,6:Attn19s
583,7,775,0,0,4,6:Attn19s
568,3,443,1,0,4,6:Attn19s
596,7,563,0,0,4,6:Attn19s
571,7,473,0,0,4,6:Attn19s
597,1,559,1,1,4,6:Attn19s
603,5,675,0,1,4,6:Attn19s
624,3,2492,1,0,4,6:Attn19s
616,1,580,1,1,4,6:Attn19s
594,5,907,0,1,4,6:Attn19s
614,3,531,1,0,4,6:Attn19s
589,3,402,1,0,4,6:Attn19s
586,3,710,1,0,4,6:Attn19s
632,1,1538,1,1,4,6:Attn19s
625,5,576,0,1,4,6:Attn19s
638,5,454,0,1,4,6:Attn19s
587,3,466,1,0,4,6:Attn19s
2,1,556,1,1,4,6:Attn19s
626,5,559,0,1,4,6:Attn19s
410,1,918,1,1,4,6:Attn19s
598,3,462,1,0,4,6:Attn19s
634,1,680,1,1,4,6:Attn19s
574,1,472,1,1,4,6:Attn19s
629,3,470,1,0,5,6:Attn19s
585,7,822,0,0,5,6:Attn19s
578,3,511,1,0,5,6:Attn19s
604,7,831,0,0,5,6:Attn19s
623,1,746,1,1,5,6:Attn19s
567,7,900,0,0,5,6:Attn19s
631,5,601,0,1,5,6:Attn19s
575,5,585,0,1,5,6:Attn19s
601,1,739,1,1,5,6:Attn19s
588,1,535,1,1,5,6:Attn19s
615,7,400,0,0,5,6:Attn19s
577,5,638,0,1,5,6:Attn19s
583,7,688,0,0,5,6:Attn19s
572,7,505,0,0,5,6:Attn19s
573,1,500,1,1,5,6:Attn19s
570,7,379,0,0,5,6:Attn19s
599,7,499,0,0,5,6:Attn19s
596,1,471,1,1,5,6:Attn19s
624,7,633,0,0,5,6:Attn19s
613,5,407,0,1,5,6:Attn19s
594,5,689,0,1,5,6:Attn19s
614,1,448,1,1,5,6:Attn19s
589,1,397,1,1,5,6:Attn19s
586,3,422,1,0,5,6:Attn19s
632,3,807,1,0,5,6:Attn19s
638,3,497,1,0,5,6:Attn19s
