Week,Day,Topic,Chapter,Difficulty
1,1,Class Introduction,,reg
1,2,Open Science,,reg
2,1,Experiments and theories,Chapter 1,reg
2,2,Replication and reproducibility,Chapter 2,reg
3,1,Measurement,Chapter 7,reg
3,2,Design of experiments 1,Chapter 8,reg
4,1,Design of experiments 2,Chapter 8,reg
4,2,Sampling,Chapter 9,reg
5,1,Experimental strategy,Chapter 11,reg
5,2,Preregistration,Chapter 10,reg
6,1,Data collection,Chapter 12,reg
6,2,Visualization 1,Chapter 14,adv
7,1,Visualization 2,Chapter 14,adv
7,2,MIDTERM EXAM,,reg
8,1,Introduction to statistics,,reg
8,2,Estimation 1,Chapter 4,reg
9,1,Estimation 2,Chapter 4,reg
9,2,Inference 1,Chapter 5,reg
10,1,Inference 2,Chapter 5,reg
10,2,Models 1,Chapter 6,adv
11,1,Models 2,Chapter 6,adv
11,2,Meta-analysis,Chapter 17,adv
12,1,Project management,Chapter 13,reg
12,2,[Instructor-specific topics],,reg
13,1,[Instructor-specific topics],,reg
13,2,[Instructor-specific topics],,reg
14,1,Ethics: Data and Participants,Chapter 3,reg
14,2,Ethics: Authorship and Research,Chapter 3,reg
15,1,Ethics: Open discussion,Chapter 3,reg
15,2,Conclusion,,reg
16,1,Conclusion,,reg
16,2,FINAL EXAM,,reg
