Week,Day,Topic,Chapter,Appendix,Difficulty
1,1,Class Introduction ,1,,reg
1,2,Theories,2,,reg
2,1,Version Control,,B,reg
2,2,Reproducible reports,14,C,reg
3,1,Tidyverse Tutorial,,D,adv
3,2,Tidyverse Tutorial continued (with TAs),,,adv
4,1,"Measurement, Reliability, and Validity ",8,,reg
4,2,Design of Experiments,9,,reg
5,1,Sampling ,10,,reg
5,2,Project Management ,13,,reg
6,1,Experiments 1: Simple survey experiments using Qualtrics,,,reg
6,2,Experiments 2: Project-specific Implementation (TAs),,,reg
7,1,Estimation,5,,reg
7,2,Inference,6,,reg
8,1,Sample Size Planning,,,reg
8,2,Survey Design,,,reg
9,1,Midterm Presentations 1,,,reg
9,2,Midterm Presentations 2,,,reg
10,1,Preregistration,11,,reg
10,2,Meta-analysis,16,,adv
11,1,Open Science,3,,reg
11,2,Visualization 1,15,E,adv
12,1,Visualization 2,,,adv
12,2,Exploratory Data Analysis Workshop,,,adv
13,1,"Sampling, Representativeness, and Generalizability",4,,reg
13,2,Data and Participants Ethics,12,,reg
14,1,Authorship and Research Ethics,,,reg
14,2,[Instructor-specific topics],,,reg
15,1,Open Discussion,17,,reg
15,2,Open Discussion,,,reg
16,1,Final Project Presentations 1,,,reg
16,2,Final Project Presentations 2,,,reg
